Date,Adj Close,Close,High,Low,Open,Volume
2018-11-26 00:00:00+00:00,3.7919209003448486,3.8262500762939453,3.836750030517578,3.6640000343322754,3.7472500801086426,814832000
2018-11-27 00:00:00+00:00,3.8087687492370605,3.843250036239624,3.9252500534057617,3.7637500762939453,3.799999952316284,738060000
2018-11-28 00:00:00+00:00,3.9658467769622803,4.0017499923706055,4.006999969482422,3.828249931335449,3.9619998931884766,804524000
2018-11-29 00:00:00+00:00,3.9026050567626953,3.934000015258789,4.037499904632568,3.9035000801086426,4.0,549172000
2018-11-30 00:00:00+00:00,4.0531439781188965,4.085750102996826,4.096499919891357,3.8929998874664307,3.9437499046325684,729564000
2018-12-03 00:00:00+00:00,4.217076778411865,4.250999927520752,4.367000102996826,4.183499813079834,4.315000057220459,890804000
2018-12-04 00:00:00+00:00,3.89640474319458,3.9277501106262207,4.210999965667725,3.9124999046325684,4.205999851226807,812112000
2018-12-06 00:00:00+00:00,3.9256696701049805,3.9572501182556152,3.962249994277954,3.770250082015991,3.7860000133514404,692308000
2018-12-07 00:00:00+00:00,3.660799980163574,3.6902499198913574,3.971750020980835,3.640500068664551,3.9614999294281006,681676000
2018-12-10 00:00:00+00:00,3.766201972961426,3.7964999675750732,3.821500062942505,3.641249895095825,3.6449999809265137,629472000
2018-12-11 00:00:00+00:00,3.6751840114593506,3.7047500610351562,3.897249937057495,3.625,3.8889999389648438,671912000
2018-12-12 00:00:00+00:00,3.692793607711792,3.7225000858306885,3.819499969482422,3.620500087738037,3.7105000019073486,654136000
2018-12-13 00:00:00+00:00,3.69254469871521,3.722249984741211,3.8345000743865967,3.686000108718872,3.7697501182556152,471384000
2018-12-14 00:00:00+00:00,3.6320316791534424,3.661250114440918,3.7647500038146973,3.637500047683716,3.6802499294281006,471820000
2018-12-17 00:00:00+00:00,3.560854196548462,3.5894999504089355,3.703749895095825,3.5309998989105225,3.63100004196167,662868000
2018-12-18 00:00:00+00:00,3.644183874130249,3.6735000610351562,3.7582499980926514,3.606250047683716,3.6337499618530273,564372000
2018-12-19 00:00:00+00:00,3.4351160526275635,3.46274995803833,3.69350004196167,3.410749912261963,3.6394999027252197,745364000
2018-12-20 00:00:00+00:00,3.350546360015869,3.377500057220459,3.5450000762939453,3.3172500133514404,3.4542500972747803,749588000
2018-12-21 00:00:00+00:00,3.2133991718292236,3.2392499446868896,3.4375,3.2114999294281006,3.404249906539917,863740000
2018-12-24 00:00:00+00:00,3.151646375656128,3.177000045776367,3.249500036239624,3.112499952316284,3.16225004196167,463840000
2018-12-26 00:00:00+00:00,3.300945520401001,3.327500104904175,3.3285000324249268,3.1115000247955322,3.2235000133514404,695100000
2018-12-27 00:00:00+00:00,3.253080129623413,3.279249906539917,3.309499979019165,3.129499912261963,3.274749994277954,637044000
2018-12-28 00:00:00+00:00,3.314584970474243,3.341249942779541,3.4347500801086426,3.2577500343322754,3.299999952316284,628728000
